hnox_3,hnox_2,hnox_1,WT_3,WT_2,WT_1,Majority.protein.IDs,Fasta.headers,id,uniprot_id,Gene,description,,Significance_Pvalue,Fold change (hnox/WT),(-)Log t-test p value,Significance_PFDR,Fold change (hnox/WT),(-)Log t-test p value_,Score,dgc_1,dgc_2,dgc_3,Fold change(hnox/WT),,P_value,#NAME?,t-test Difference,#NAME?,t-test Difference_,gene_symbol,description,sig.FDR_dgc_vs_hnox,sig.PVal_dgc_vs_hnox,adj.P.Val_dgc_vs_hnox,P.Value_dgc_vs_hnox,B_dgc_vs_hnox,t_dgc_vs_hnox,average_intensity_dgc_vs_hnox,CI.R_dgc_vs_hnox,CI.L_dgc_vs_hnox,sig.FDR_dgc_vs_WT,logFC_dgc_vs_hnox,sig.PVal_dgc_vs_WT,adj.P.Val_dgc_vs_WT,P.Value_dgc_vs_WT,B_dgc_vs_WT,t_dgc_vs_WT,average_intensity_dgc_vs_WT,CI.R_dgc_vs_WT,CI.L_dgc_vs_WT,logFC_dgc_vs_WT,sig.PVal_hnox_vs_WT,sig.FDR_hnox_vs_WT,adj.P.Val_hnox_vs_WT,P.Value_hnox_vs_WT,B_hnox_vs_WT,t_hnox_vs_WT,average_intensity_hnox_vs_WT,CI.R_hnox_vs_WT,CI.L_hnox_vs_WT,logFC_hnox_vs_WT
19.07689,19.40184,19.33102,19.5283,19.15331,19.53168,A1B590,tr|A1B590|A1B590_PARDP Arginine biosynthesis bifunctional protein ArgJ OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=argJ PE=3 SV=1,1429,A1B590,argJ,Arginine biosynthesis bifunctional protein ArgJ,,,-0.134509405,0.349678628,,-0.134509405,0.349678628,102.34,19.09681928,19.17053504,19.50815239,-0.134509225,0.449473533,0.449487257,0.349678628,-0.134509405,0.349678628,-0.134509405,argJ,Arginine biosynthesis bifunctional protein ArgJ,0,0,0.964491634,0.940146633,-7.58002388,-0.077390672,19.31095025,0.326677682,-0.349512494,0,-0.011417406,0,0.535382397,0.350562193,-6.280816255,-0.989135367,19.31095025,0.192168457,-0.484021719,-0.145926631,0,0,0.62010942,0.387625933,-6.911422202,-0.911744694,19.31095025,0.203585863,-0.472604313,-0.134509225
24.0986,24.03967,23.97836,23.98457,24.02438,23.96052,A1B373,sp|A1B373|SYR_PARDP Arginine--tRNA ligase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=argS PE=3 SV=1,938,A1B373,argS,Arginine--tRNA ligase,,,0.049051285,0.55126065,,0.049051285,0.55126065,302.55,24.06067286,24.08658534,23.97499383,0.04905151,0.299795112,0.299810643,0.55126065,0.049051285,0.55126065,0.049051285,argS,Arginine--tRNA ligase,0,0,0.984821642,0.973959995,-7.58273959,0.03361846,24.02315122,0.129141511,-0.125394642,0,0.001873434,0,0.563561354,0.386068035,-6.352748773,0.913839538,24.02315122,0.178193021,-0.076343132,0.050924945,0,0,0.631969738,0.403015594,-6.940699879,0.880221078,24.02315122,0.176319587,-0.078216566,0.04905151
22.96946,22.82063,22.85716,22.83565,22.89795,22.87541,A1B474,sp|A1B474|AROA_PARDP 3-phosphoshikimate 1-carboxyvinyltransferase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=aroA PE=3 SV=1,1186,A1B474,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,,,0.012747447,0.094180839,,0.012747447,0.094180839,164.22,23.04052625,22.97107633,22.98818329,0.012747221,0.811219148,0.811205733,0.094180839,0.012747447,0.094180839,0.012747447,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,0,0,0.17712319,0.067522463,-5.612183077,2.095277389,22.91733876,0.245595672,-0.010573304,0,0.117511184,0,0.171557736,0.046996885,-4.495889175,2.322566092,22.91733876,0.258342893,0.002173918,0.130258405,0,0,0.919443971,0.825588332,-7.324728576,0.227288703,22.91733876,0.140831709,-0.115337266,0.012747221
21.97376,21.79801,21.8896,21.72306,21.79856,21.78564,A1B1J4,sp|A1B1J4|AROB_PARDP 3-dehydroquinate synthase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=aroB PE=3 SV=1,666,A1B1J4,aroB,3-dehydroquinate synthase,,,0.118030548,0.990994074,,0.118030548,0.990994074,150.85,21.80919223,21.77538165,21.80221819,0.118030813,0.131113659,0.131119561,0.990994074,0.118030548,0.990994074,0.118030548,aroB,3-dehydroquinate synthase,0,0,0.298804683,0.150834384,-6.364880984,-1.579225704,21.8172693,0.040833527,-0.223880157,0,-0.091523315,0,0.790563313,0.658895994,-6.678141221,0.457384255,21.8172693,0.158864341,-0.105849343,0.026507499,0,0,0.237388778,0.07410689,-5.475414385,2.036609959,21.8172693,0.250387655,-0.014326029,0.118030813
18.26357,18.8964,18.57985,18.81537,18.6301,18.88346,A1BA52,sp|A1BA52|AROC_PARDP Chorismate synthase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=aroC PE=3 SV=1,2334,A1BA52,aroC,Chorismate synthase,,,-0.196367264,0.423770834,,-0.196367264,0.423770834,56.377,18.28442134,18.3776814,18.53408223,-0.196367188,0.402048335,0.402051183,0.423770834,-0.196367264,0.423770834,-0.196367264,aroC,Chorismate synthase,0,0,0.433213074,0.2666174,-6.851755469,-1.190976997,18.58499195,0.167481166,-0.529904851,0,-0.181211843,0,0.152859021,0.037007874,-4.253989648,-2.481559333,18.58499195,-0.028886021,-0.726272039,-0.37757903,0,0,0.463986806,0.231648943,-6.506736322,-1.290582337,18.58499195,0.152325821,-0.545060196,-0.196367188
20.45888,20.33045,20.31445,20.25994,20.3389,20.23772,A1B5V3,sp|A1B5V3|AROE_PARDP Shikimate dehydrogenase (NADP(+)) OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=aroE PE=3 SV=1,1572,A1B5V3,aroE,Shikimate dehydrogenase (NADP(+)),,,0.08907191,0.742226587,,0.08907191,0.742226587,105.82,19.95641504,20.30957068,20.28837595,0.089072141,0.19110528,0.191093326,0.742226587,0.08907191,0.742226587,0.08907191,aroE,Shikimate dehydrogenase (NADP(+)),0,0,0.220599733,0.094128308,-5.92986872,-1.884862437,20.27718892,0.038762315,-0.405039528,0,-0.183138606,0,0.541508072,0.35979935,-6.301742974,-0.968132011,20.27718892,0.127834456,-0.315967387,-0.094066465,0,0,0.617524941,0.38463506,-6.907364232,0.916730426,20.27718892,0.310973062,-0.13282878,0.089072141
20.32255,20.2469,20.32612,20.14855,20.27465,20.22891,A1B1J3,tr|A1B1J3|A1B1J3_PARDP Shikimate kinase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=aroK PE=3 SV=1,665,A1B1J3,aroK,Shikimate kinase,,,0.081157684,0.836576108,,0.081157684,0.836576108,60.021,20.35026251,20.30865819,20.33401694,0.081157929,0.154000531,0.153977324,0.836576108,0.081157684,0.836576108,0.081157684,aroK,Shikimate kinase,0,0,0.703951581,0.559973362,-7.382492809,0.606667395,20.28229128,0.154622244,-0.089716382,0,0.032452931,0,0.202155208,0.064528506,-4.801719865,2.123814469,20.28229128,0.235780173,-0.008558453,0.11361086,0,0,0.374239044,0.165617278,-6.220300079,1.517147075,20.28229128,0.203327242,-0.041011384,0.081157929
11.82558,11.881,12.07057,11.13041,10.80051,11.39643,A1AY18,tr|A1AY18|A1AY18_PARDP 3-dehydroquinate dehydratase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=aroQ PE=3 SV=1,35,A1AY18,aroQ,3-dehydroquinate dehydratase,,+,0.816599846,1.915856367,,0.816599846,1.915856367,3.27,11.50553507,11.22122668,11.26575198,0.816600106,0.02740229,0.027401509,1.915856367,0.816599846,1.915856367,0.816599846,aroQ,3-dehydroquinate dehydratase,0,0,0.025158389,0.003838195,-2.659801701,-3.968202479,11.45522323,-0.251324717,-0.938431351,0,-0.594878034,0,0.361802814,0.176066626,-5.719561418,1.479022631,11.45522323,0.565275389,-0.121831245,0.221722072,0,0,0.012518784,0.000539042,-0.349908372,5.44722511,11.45522323,1.160153423,0.473046789,0.816600106
24.25072,24.24516,24.20805,24.23205,24.25933,24.21639,A1B5R5,tr|A1B5R5|A1B5R5_PARDP Aspartate-semialdehyde dehydrogenase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=asd PE=3 SV=1,1541,A1B5R5,asd,Aspartate-semialdehyde dehydrogenase,,,-0.001279195,0.023296546,,-0.001279195,0.023296546,241.28,24.41925856,24.30570307,24.24089292,-0.001280134,0.947755034,0.947746258,0.023296546,-0.001279195,0.023296546,-0.001279195,asd,Aspartate-semialdehyde dehydrogenase,0,0,0.314204854,0.163682973,-6.437930146,1.524981104,24.26417202,0.218063326,-0.043444686,0,0.08730932,0,0.3542743,0.169257612,-5.688831907,1.502621748,24.26417202,0.216783192,-0.04472482,0.086029186,0,0,0.994160145,0.982678977,-7.353125196,-0.022359356,24.26417202,0.129473872,-0.13203414,-0.001280134
23.55958,23.51326,23.42174,23.54709,23.53883,23.56266,A1B431,sp|A1B431|SYDND_PARDP Aspartate--tRNA(Asp/Asn) ligase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=aspS PE=3 SV=1,1149,A1B431,aspS,Aspartate--tRNA(Asp/Asn) ligase,,,-0.051333745,0.55325687,,-0.051333745,0.55325687,223.24,23.34245844,23.43114325,23.21701658,-0.051334176,0.331921306,0.331919832,0.55325687,-0.051333745,0.55325687,-0.051333745,aspS,Aspartate--tRNA(Asp/Asn) ligase,0,0,0.113321165,0.034450644,-4.948308447,-2.516785044,23.45930763,-0.015550531,-0.320419903,0,-0.167985217,0,0.090831099,0.010247014,-2.974389427,-3.285882995,23.45930763,-0.066884707,-0.371754079,-0.219319393,0,0,0.677135914,0.462734677,-7.035101392,-0.769097951,23.45930763,0.10110051,-0.203768862,-0.051334176
22.12514,22.12615,22.13768,22.86242,22.52837,22.83823,A1B8N8,sp|A1B8N8|ATPA_PARDP ATP synthase subunit alpha OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=atpA PE=1 SV=1,2024,A1B8N8,atpA,ATP synthase subunit alpha,,+,-0.613351186,2.329370533,+,-0.613351186,2.329370533,174.23,22.30439178,22.60160808,22.79062671,-0.613351375,0.029248652,0.02924888,2.329370533,-0.613351186,2.329370533,-0.613351186,atpA,ATP synthase subunit alpha,0,0,0.046419201,0.009545745,-3.622198112,3.348359286,22.47940304,0.734056578,0.137712241,0,0.43588441,0,0.39871096,0.208531456,-5.865548045,-1.363258578,22.47940304,0.120705204,-0.475639134,-0.177466965,0,0,0.023244951,0.00136329,-1.345620716,-4.711617864,22.47940304,-0.315179206,-0.911523543,-0.613351375
